Cultivated,Deciduous,Coniferous,Marshes,Peatbogs,Herbaceous,Water,Pixels,LocCode,River,Class,Built_up
0.002110957187149548,0.6828286826307804,0.185104558348176,0.03397321723068804,0.08826439738769049,0.007058513094531302,6.596741209842338e-4,15159,GO_40,GO,Catch,NA
8.634087376964255e-4,0.7717147297530651,0.1402175790018995,0.021757900189949924,0.06389224658953549,0.0013814539803142809,1.726817475392851e-4,5791,GO_41,GO,Catch,NA
0.0016406890894175555,0.6488925348646432,0.24118129614438064,0.016406890894175553,0.09023789991796555,0.0016406890894175555,NA,1219,GO_42,GO,Catch,NA
3.635041802980734e-4,0.8495092693565977,0.03271537622682661,0.026535805161759362,0.08651399491094147,0.003998545983278807,3.635041802980734e-4,2751,GO_43,GO,Catch,NA
0.0015882469724042088,0.8693666865197538,0.04288266825491364,0.01886043279729998,0.06432400238237046,0.0025809013301568394,3.970617431010522e-4,5037,GO_44,GO,Catch,NA
NA,0.870026525198939,NA,0.03183023872679045,0.050397877984084884,0.04509283819628647,0.002652519893899204,377,GO_45,GO,Catch,NA
9.910802775024777e-4,0.9345887016848364,0.024777006937561942,0.026759167492566897,0.011892963330029732,NA,9.910802775024777e-4,1009,GO_46,GO,Catch,NA
0.0010836248800272453,0.28471469704944424,0.06997120653890214,0.28719155391807794,0.2967274528623177,0.04260193814049971,0.01575900182668194,32299,GO_47,GO,Catch,0.0019505247840490418
9.731995807755652e-4,0.26351250187153763,0.0640814493187603,0.3375505315166941,0.33066327294505166,0.0025452912112591706,6.737535559215452e-4,13358,GO_48,GO,Catch,NA
9.300595238095238e-4,0.027901785714285716,0.06882440476190477,0.48400297619047616,0.4172247023809524,7.44047619047619e-4,3.720238095238095e-4,5376,GO_5,GO,Catch,NA
NA,0.3469621704241498,0.06406827155776335,0.3296395363647943,0.15475735575085978,0.051331040631766654,0.05324162527066616,7851,GO_6,GO,Catch,NA
0.001138433515482696,0.17907559198542805,0.09016393442622951,0.21539162112932606,0.4007285974499089,0.09824681238615665,0.00808287795992714,8784,GO_7,GO,Catch,0.007172131147540984
0.0014847809948032665,0.7780252412769116,0.025736203909923285,0.06161841128433556,0.11828755258599356,0.011878247958426132,0.002969561989606533,4041,GO_8,GO,Catch,NA
0.0015349194167306216,0.3605472781644481,0.06489004154868076,0.2541085558525419,0.26614973403551484,0.037367348559028235,0.013734882366951598,37787,GO_9,GO,Catch,0.001667240056103951
0.07272727272727272,NA,0.2,0.2818181818181818,0.44545454545454544,NA,NA,110,V_1,VY,100,NA
0.01904761904761905,NA,0.7047619047619048,0.047619047619047616,0.22857142857142856,NA,NA,105,V_10,VY,100,NA
NA,NA,0.08045977011494253,0.022988505747126436,0.896551724137931,NA,NA,87,V_11,VY,100,NA
NA,NA,NA,0.20238095238095238,0.7738095238095238,0.023809523809523808,NA,84,V_12,VY,100,NA
NA,NA,0.11627906976744186,0.32558139534883723,0.5581395348837209,NA,NA,86,V_13,VY,100,NA
0.008403361344537815,0.05042016806722689,0.6638655462184874,0.2184873949579832,0.058823529411764705,NA,NA,119,V_14,VY,100,NA
